Department,Sentiment,Emotions,Summary
Product,negative,"mistake, love, help","huge, quality, design, sized down two sizes"
Product,positive,"comfortable, cute, versatile","comfortable and cute, versatile colors"
Product,negative,"disappointment, frustration, hope, dissatisfaction, regret","sizing issue, not like previous purchase, disappointment in fit"
Product,positive,"pretty, tts, long, extra length, light weight, comfortable, love","pretty pajamas, tts, long, light weight, comfortable, love the print"
Product,positive,"loved, great, cant go wrong, purchase","great quality, looks great, cant go wrong with this purchase"
Product,negative,"unflattering, chic, right, short, curvy","high-waisted belts, fit, returning"
Product,positive,"flattering, love, perfect, lovely, wish","navy dress, flattering crisscross, stretchy fabric, perfect fit"
Product,positive,"love, happy","beautiful, comfortable, breathable"
Product,positive,"excited, satisfied, surprised, happy, content","nice pants, great fabric, perfect fit, excited to wear"
Product,positive,"love, feminine, casual",feminine look with casual style
Product,positive,"comfortable, lightweight, soft, stretchy, beautiful","comfortable, lightweight joggers with soft and stretchy fabric"
Product,negative,"interesting, good, easy, fine, dull","fit and design interesting, color scheme dull"
Product,positive,"comfortable, flattering, simplicity, wearable, cute",comfortable and flattering summer top with a cute twist.
Product,positive,"liked, big",dress ran too big
Product,positive,"happy, loose, solves, high-rise, long","waist a bit loose, high-rise, solves with drawstring tie"
Product,positive,"cute, good, rough, scratchy",fabric is a little rough and scratchy
Product,negative,"disappointment, frustration, regret, dissatisfaction, annoyance","size issue, sold out"
Product,positive,"excited, happy, standard, high quality","light blue summer jacket, high quality, standard fit"
Product,negative,"cute, smaller chested","maternity top, suited for someone smaller chested"
Product,positive,"loved, beautiful, can't wait","shorter than pictured, size runs large, beautiful color"
Product,positive,"hopeful, happy, stumped, puzzled, cozy","stretchy, warm, cozy sweater, sheds"
Product,positive,"wonderful, warm, cozy, cute, love","warm and cozy and cute, love them"
Product,positive,"beautiful, spectacular, great, justice, soft","beautiful dress, fitted top, flares bottom, soft denim, sparkly belt"
Product,positive,"happy, soft, perfect, often","super soft, perfect for fall season"
,,,
Product,positive,"cute, stretch, throughout the day","cute top, stretches throughout the day"
Product,positive,"pleased, perfect, soft-looking, true, enough","true to size, elasticized waistband, floor-length, as pictured"
Product,negative,"disappointment, frustration, dissatisfaction, resignation, annoyance",tank is nice quality but too short and boxy
Product,negative,"loved, flattering, lost, unfortunately, sold out","green color, flattering cut, petite size sold out"
Product,positive,"like, great, perfect, best","frayed ankle looks great, length is perfect, runs one size small"
Product,positive,"perfect, flattering, well made, lightweight, well thought out",well made lightweight sweater with flattering neckline and ribbing detail
Product,positive,"happy, hopeful","high quality cropped trouser, happy with purchase."
Product,positive,"surprised, happy","thin but works, super cute, happy with purchase"
Product,positive,"unsure, disappointed, hopeful, satisfied, curious","size 8 shirt, sheer and flowy, needs tank or cami underneath."
Product,positive,"liked, prefered, cute, comfy, didn't find","pink color, sequins, comfy, leggings, boots, high heels"
Product,positive,"cute, love, dress up, dress down, waiting","cute shirt for spring, colored striping, dress up or down"
Product,negative,"disappointed, frustrated, dissatisfied, regretful, hopeful","sweater dress not flattering for hourglass figure, quality is good"
Product,negative,"frustration, disappointment, dissatisfaction, annoyance, dissatisfaction",sizing issue in bust and shoulder area
Product,positive,"soft, airy, great, terrible, more","soft and airy dress, great color, arm holes slightly low"
Product,negative,"disappointment, frustration, dissatisfaction, regret, skepticism","fit issues, fabric quality, elasticity, high price"
Product,positive,"good, felt, perfect, happier","navy dress, white crochet sweater, perfect dress for mother of the groom."
Product,positive,"unique, gorgeous, great, ethnic/bohemian beauty, femininity, delicate, well worth it",unique and gorgeous top with ethnic/bohemian beauty and femininity. Delicate but well worth it.
Product,positive,"perfect, flowy, beautiful, gorgeous, compliments","perfect for fall, flowy with beautiful embroidery, received compliments"
Product,negative,"dumpy, slender, pounds, squat, miss","pants make me look dumpy, miss for me"
Product,positive,"stylish, classic, quirky, flattering","stylish blouse with classic and quirky features, flattering fit"
Product,negative,"curious, gorgeous, problem, love, long, larger, loved, wish","too much fabric, long, slim hips, wish it worked"
Product,negative,"nice, soft, high quality, solid, pretty, flattering","dress with too much draping, not flattering for my figure."
Product,positive,"flattering, boxy, perfect, great","jacket is flattering, runs large, fits perfect, looks great"
Product,negative,"love, flattering, disappointing, inaccurate",inaccurate color description
Product,negative,"frustration, disappointment, annoyance, dissatisfaction, regret","shorts with cute pattern and pockets, but too short and small, zipper issues"
Product,negative,"misleading, tight, need, shrinkage, extra","misleading picture, tight arm holes, need smaller size, too much fabric"
"Product, Inventory",positive,"cute, great, many things, out of stock, blue color","cute top, great fit, out of stock in blue color"
Product,positive,"perfection, effortless, cool, vibrant, gorgeous","vibrant colors, true to size, room to layer"
Product,positive,"favorite, well, versatile, soft, well made","good quality, versatile piece, more colors needed"
Product,positive,"dream, appreciate, favorites, cute, easily","large, comfy, sexy swing tee, can be worn with boots and jacket"
Product,positive,"cute, unique, frequent, small","cute top, unique, wear frequently, runs small"
Product,positive,"love, flow","length, flow"
Product,negative,"disappointment, frustration, dissatisfaction, sadness, regret","poor cutting, tent-like shape, sad prisoner in stripes"
Product,positive,"beautiful, flatters, slimming, shocked, well made","well-made dress that flatters and slims, perfect for petite figures."
Product,positive,"unusual, lovely, nice, transitional, worn","thick fabric, unusual details, nice choice for transitional weather"
Product,negative,"funny, adorable, return","cropped top, lining is adorable, considering returning it"
Product,positive,"awesome, worried, pretty, well made, want more","well-made bra, pretty lace, want more colors"
Product,positive,"happy, satisfied, excited, pleased, content","high-quality dress, beautiful colors, perfect fit"
Product,negative,"disappointment, frustration, dissatisfaction, regret, annoyance","jacket size too large, had to return it"
Product,positive,"agree, love, looking forward, nice, neutral","grey color, well into fall/winter"
Product,positive,"loved, pleased, slight issue, better, bright","fabric is sheer, stitching is neon pin"
Product,positive,"love, elegance, stunning, favorites, right person","dress with necklace and cardigan, needs altering, stunning on right person"
Product,positive,"stunning, well made, great, tricky, reference","stunning dress, well made, tricky fit, try in store."
Product,positive,"soft, light, airy, great, cute","soft color, light material, feels great, cute flamingos"
Product,positive,"beautiful, drawn, closer, creamy, delicate",beautiful dress with detailed embroidery and lace trim.
Product,negative,"disappointed, well done","length and hanging issue, disappointed with the product."
Product,positive,"nervous, disappointed, flattering, forgiving, thin, light, airy","thin, light, airy, flattering, forgiving"
"Sales, Product",positive,"beautiful, love, modern, 70's vibe, encouraged","salesperson encouraged me to try beautiful blouse, modern 70's vibe"
Product,positive,"satisfied, happy, relieved, content, grateful","well-fitting shorts, good quality, versatile for different outfits."
Product,negative,"disappointed, unflattering, perfect, gorgeous, great","dress not fitted, print and quality are gorgeous, high neckline unflattering"
Product,positive,"love, beautiful, good, compliment, spring","beautiful dress, true to size, many compliments"
Product,positive,"attention, returned, gorgeous, sorry, worth",style and fabric
Product,positive,"soft, pretty, quality, fit, bother","soft, pretty sleeve detail, quality and fit as expected"
Product,positive,"love, beautiful, flattering, perfect, great","beautiful soft fabric, flattering, perfect length, great with shorts, pants or a long skirt"
Product,negative,"dissatisfaction, frustration, disappointment, annoyance, dissatisfaction","sizing issue, fabric quality, not recommended for curvy, athletic build"
Product,negative,"disappointment, surprise, confusion","dress sequins are dark blue, not silver/gold as expected."
Product,positive,"cute, tried","cute top, daughter tried"
Product,positive,"sexy, small, exchanged, large","suit runs small, exchanged for a large"
Product,positive,"happy, satisfied","nice feminine pattern, thick fabric, great pockets, small fits nicely"
Product,positive,"satisfied, happy, confident, content, excited","true-to-size, comfortable, durable, will buy again"
Product,positive,"loved, amazing, fit, recommend, sad","fabric amazing, fit loved, recommend shirt, sad couldn't"
Product,positive,"lovely, beautiful, perfect, lovely","beautiful material, ruffled hem, perfect fit, lovely blue dress"
Product,negative,"cute, short, high, adorable, comfortable","dress too short and flares dramatically, not like the model."
Product,positive,"excited, happy","colorful top in petite sizes, fits perfectly, happy with this find"
Product,positive,"love, great, beautiful, comfy, warm","great quality sweater dress, beautiful color, comfy and warm."
Product,negative,"uncomfortable, disappointed, wanted to love, need to return","dress design not flattering, need to return"
Product,negative,"smitten, limited, snug","limited in length, snug fit"
Product,positive,"love, amazing, fun, perfect, plenty","stretchy, large size, amazing fit, knee-skimmer, green color, pockets, button fly"
Product,positive,"surprised, satisfied, impressed, content, happy","good quality material, great for leggings or skinny jeans."
Product,negative,"frustration, disappointment","sizing issue, returning"
Product,negative,"ok, so-so, fragile, romantic, contrast","fragile fabric, ok fit, so-so color, romantic ruffle"
Product,positive,"surprise, satisfaction, curiosity, anticipation, trust","dress runs big, size down, great weight for mild winter weather"
Product,positive,"lovely, great, touch large, maybe size down","waistband runs large, size down"
Product,positive,"comfortable, love, classy, casual","stretchy fabric, snaps on waistband, comfortable, classy casual."
Product,positive,"beautiful, excited, can't wait, start wearing","versatile sweater/coat, excited to wear it"
Product,negative,"disappointment, frustration, dissatisfaction, annoyance, dissatisfaction","shirt sizing issue, sleeves too long"
Product,positive,"perfect, light, super soft, great, liked","light lilac tone, fabric is light and super soft"
Product,negative,disappointed,color bleeding issue with the top
Product,positive,"love, elegant, complaint, nice","great length, 3/4 bell sleeves, stitching could be better"
Product,negative,"disappointment, frustration, dissatisfaction, hopefulness, uncertainty","dress not flattering, shapeless, low back, not suitable for curvy figure"
Product,positive,"love, hate","slim pant, love it, fits like a glove, no bagging after wear"
Product,negative,"small, chested, large, cute","sizing issue in the chest, cute design."
Product,positive,"pleased, lovely, good, silky","good fit, lovely print, silky fabric"
Product,negative,"sad, disappointed","thin fabric, shows every lump and bump"
Product,positive,"cute, love, great, fit, short","cute top, runs big, fits well, versatile with different bottoms"
"Marketing, Sales",positive,"pretty, easy, soft, gorgeous, surprised","pretty top, soft material, gorgeous back, great purchase on retailer weekend"
Product,negative,"disappointed, pass",dress design is reminiscent of 90s nightgowns
Product,positive,"love, comfortable, perfect, happy, wish","comfortable and perfect shorts, wish for more color options"
Product,negative,"frustration, disappointment, dissatisfaction, annoyance, confusion","sizing issue with jumpsuit, pants start too high, gathering creates unwanted pooch"
Product,positive,"fun, comfortable, cool, nice",embroidered and beaded detail is quite nice
Product,negative,"worried, lost, stretched out, sagged, giving up","dress quality issue, worried about shape and fit"
Product,negative,"loved, billowy, larger, pregnant","shirt look loved, billowy under chest, larger, pregnant."
Product,positive,"flattering, comfortable, wonderful, fun, favorite","flattering and comfortable dress, perfect for work and fun."
Product,positive,"comfortable, put-together, cute, slimming, like","comfortable and cute top, slimming for large bust."
Product,positive,"love, comfortable, warm, dressy, casual","comfortable, warm, dressy yet casual dress"
Product,positive,"great, comfortable, well made, whimsy","great top for spring and summer, comfortable and well made."
Product,positive,"lovely, cool, gorgeous","lovely dress with cool slits, gorgeous fabric, too long for shorter people"
Product,negative,"complain, mind, thick, well, short","dress is ""bell"" shaped, fabric doesn't lay well, shorter than expected, good quality"
product,positive,"love, nice, great, snug, stretched","leggings fit well, love the print and bought more."
Product,positive,"lovely, fun, beautiful, issue, tad","lovely jacket, fun take on blazer, beautiful ruffle pocket-detail"
Product,negative,"disappointed, frustrated, regretful, dissatisfied, sad","sizing issue, unflattering fit, returned"
Product,positive,"flattering, fun, comfortable, vibrant, light","flattering, fun, vibrant colors, comfortable fabric, runs large"
Product,positive,"cute, interesting, comfortable, flowy","cute design, interesting back feature, comfortable and flowy."
Product,negative,"unsure, disappointed, frustrated, dissatisfied, concerned","sizing issue, uncomfortable fit, camel toe problem"
Product,negative,"frustration, confusion, disappointment, dissatisfaction, surprise","dress sizing issue, not suitable for average body shape"
Product,negative,"disappointed, like, overpriced","overpriced, disappointed, quality not great, color is good"
Product,negative,"disappointment, frustration, discomfort","itchy, uncomfortable, puffy sleeves, metallic thread, lace"
Product,negative,"big, cute, maternity","shirt is big, could be cute as maternity shirt"
Product,negative,"disappointing, highest hopes, beautifully designed, comfortably, crisp","sheer shirt, disappointing, highest hopes for crisp white shirt"
Product,positive,"loved, looking for, concern, recommend, compliments","lightweight jacket, soft and versatile, received compliments"
Product,positive,"surprised, beautiful, comfortable, flattering, compliments","beautiful dress, comfortable and flattering, received many compliments"
Product,positive,"beautiful, soft, lovely, easy, fits","beautiful sweater, soft, lovely color, easy to wear, fits"
Product,positive,"cute, flattering","cute and flattering raspberry clothing, paired with dark gray tank"
Product,positive,"perfect, cute, different","flowier top for layering, cute peplum detail."
Product,positive,"concerned, beautiful, rich, ordinary, lined","beautiful blue velvet dress, lined, rich-looking material"
Product,positive,"amazing, great, cute, well-made, perfect","well-made pants with a gorgeous pattern, perfect sizing"
Product,positive,"flattering, comfortable, perfect, spring, dressed up, dressed down","flattering and comfortable dress for spring, versatile for different occasions."
Product,negative,"disappointed, frustrated, indifferent, satisfied, unsure","pilcro made tighter waist due to complaints, fit and quality are good"
Product,positive,"happy, well made, light, comfortable, tastefully done, great, rare finds, dressed up, dressed down, across seasons, spring, shrinking","well made dress, versatile for different seasons, may shrink when washed"
Product,positive,"amazing, great, quality, fits, wonderfully","great quality dress, fits wonderfully, transition between seasons"
Product,negative,"love, happy, significant, older, worn","significant pilling, older, worn"
Product,positive,"pleased, nervous, great, warm, pretty","good fit, warm lining, pretty crowns on birds."
Product,negative,"loved, issue, tight, curvy, problem, ripped, hassle","dress fit perfectly, but difficult to take off, ripped the back"
Product,positive,"cute, flattering, loosen up, quality","cute and flattering, order one size down, good quality."
Product,negative,"strange, cute, small, return, large","suit design issue, small fit, had to return"
Product,negative,"loved, flattering, soft, bummed, holes","holes appeared after washing, fabric quality issue"
Product,positive,"forewarned, lightweight, perfect, gorgeous, wish","lightweight fabric, perfect for summer, gorgeous boho design"
Product,positive,"favorite, flattering, wonderful, skin","favorite romper, flattering, material feels wonderful against skin"
Product,positive,"great, tight, ordinary, love, flattering","neckline needs improvement, overall flattering fit"
Product,positive,"happy, comfortable, versatile, tremendous, win","comfortable, versatile romper, tremendously happy"
Product,positive,"satisfied, impressed, happy, content, pleased","true to size, good quality, versatile for all seasons"
Product,positive,"lucky, torn, layer, rich","moss color is richer, size options available"
Product,positive,"pretty, flowy, love, debating, great","pretty and flowy top, debating on keeping it, great for summer"
Product,positive,"great, perfect, hard, nice, thick","leggings, cold weather, large calves, thick and warm"
Product,negative,"love, favorite, down side, excuse, look","tee shirt with higher neckline and subtle ruffle, developed holes quickly"
Product,positive,"soft, cozy, love","soft and cozy jeans, love them"
Product,positive,"adorable, flattering, correct, perfect","adorable top, flattering style, correct size, perfect fit"
Product,positive,"pleasantly surprised, highly recommend, out there","super soft, high quality, perfect fit for petites"
Product,positive,"cute, great, love","cute, great colors and fit"
Product,negative,"disappointed, dissatisfied, frustrated, regretful, annoyed","beaded shirt, quality seems good, shoulders pleated and puffy, collar floppy"
Product,positive,"beautiful, flattering","dress navy and neutral stripes, fits true to size, knot at hip beautiful and flattering"
,,,
Product,positive,"love, okay, flattering, reference, ordered","flattering dress, heavier fabric, good for hourglass figure"
Product,positive,"comfortable, long, expected, everyday, formal","comfortable dress, full skirt, everyday wear"
Product,positive,"love, nervous, hopeful",more tops like this in the fall line
Product,positive,"different, cute, love, beautiful, substantial","cute coral color lining, beautiful drape, soft fabric"
Product,negative,"fence, slinky, loose, large, a-line, over sized, body, intricately, movement, tug, extended","fabric is slinky and loose, sleeves are attached intricately, movement causes tugging"
Product,positive,"anticipation, excitement, satisfaction, happiness, hesitation","flattering and comfy pants, worth the price"
Product,positive,"favorable, liked, lovely, chic","good quality, stays off shoulders, size down, dark navy looks chic"
Product,positive,"quality, design, busty",designers need to consider busty women in their clothing line.
Product,positive,"comfortable, good, heavier, fun, perfect","comfortable and versatile linen pants, reminiscent of old hippie days."
,,,
Product,negative,"disappointed, surprised, frustrated, dissatisfied, curious","dress not as expected, fabric is stiff"
Product,positive,"comfortable, nice, snugly, nicer, left behind","pattern on regular fabric, nice colors, comfortable fit, petite length below knee"
Product,positive,"love, lightweight, comfortable, versatile, fun","lightweight, comfortable, versatile sweater, fun piece to wear"
Product,positive,"great, largish, curvier, fitted, long arms, great wrists, sturdy, cheap looking, hand-wash, long time, certain days, more colors, thanks","design, long arms, not cheap looking, hand-wash, more colors"
Product,positive,"happy, cute, great, happy, nice","nice top, dressy and cute, very happy with this purchase"
Product,negative,"disappointed, loved, awkward, alright, cozy","fit and styling disappointed, cozy material for fall season"
Product,positive,"pretty, compliments, comfortable, reccomend","pretty dress, comfortable, highly reccomend"
Product,negative,"disappointment, frustration, dissatisfaction, annoyance, anger",pilcro ankle stet jeans are not as good as they used to be.
Product,negative,"comfortable, liked, issue, flares out oddly, short, opinion, sturdy, long sleeves, proportional, skirt length, horizontal stripes, did not work, regrettably, sent it back","dress flares out oddly and is quite short, skirt length and horizontal stripes did not work"
Product,positive,"love, pretty","pretty details, true to size fit"
Product,negative,"disappointed, sad, weird, sparkly, scratchy","sparkly and scratchy dress, weird slit height, might purchase on sale."
Product,positive,"happy, satisfied, grateful, pleased, content","soft and cuddly robe, petite sizes available, pretty teal color"
Product,negative,"disappointed, cheap","fabric quality is cheap, color is not as expected"
Product,positive,"pretty, gorgeous, comfortable, wish, large chest","pretty sweater, gorgeous detail, comfortable, wish for longer length"
Product,negative,"disappointment, frustration, dissatisfaction, surprise, regret","dress color and length issues, not worth the price tag."
Product,positive,"comfortable, dressy",comfortable and dressy dress
Product,positive,"love, compliments, accommodate, girls","sized up for a better fit, received compliments"
Product,positive,"lovely, comfortable, great, beautiful, figure flattering","comfortable fabric, great cut, figure flattering"
Product,negative,"disappointment, regret, appreciation, satisfaction, admiration","collar area detail is quite nice, but not suitable for post-pregnancy body."
Product,positive,"love, great, quality, accommodate, pregnancy","great quality, accommodates pregnancy"
"Marketing, Sales",positive,"flattering, cute, perfect, hurry, sells out","flattering dress, perfect for summer, hurry before it sells out"
Product,positive,"pleased, elegant, sexy, modest, excited","elegant and sexy dress, form-fitting without being too tight."
Product,positive,"satisfied, happy, content, excited, interested","petite pants in great colors, considering buying more in sale"
Product,negative,"unflattering, versatile, cute, good, flat chested","dress flares out, versatile for many occasions"
Product,negative,"shocked, disappointed, surprised, satisfied, frustrated","well-made fleece-lined jeans, but returning due to lack of fit."
Product,positive,"pretty, great, nice, cute, baggy, shapeless, unsure, better, curvier","pretty dress, petite fit, unsure about shape, better on curvier bod"
,,,
Product,negative,"warning, sparkle, cheapens, adorable","sequins on yoke, cheapens dress"
Product,positive,"difficult, versatile, great, work","true-to-size, versatile piece, great for work"
Product,positive,"recommend, adorable, flattering","pinstripes very flattering, recommend"
Product,negative,"mistake, cute, comfy, returned","design not comfy, returned"
Product,positive,"love, great, long, keeping, hemmed","love style, great fit, long, keeping, hemmed"
Product,positive,"sure, big, good, long, not sure","material good quality, size runs large, back is long"
Product,positive,"glad, adorable, striking, wish","lilka pj bottoms with adorable bird print, soft flannel, striking colors"
Product,positive,"flattering, love, complaint, nice, fit, quality","great pair of trousers, flattering, highwaisted, unlined, fit and quality outweigh the one con"
,,,
Product,positive,"flattering, loose, swingy, big, fragile","flattering fit, may get a second color"
Product,positive,"comfortable, well made, love, interchangeable","comfortable, well made, love, interchangeable"
Product,negative,"disappointment, frustration, dissatisfaction, concern, skepticism","sizing issue, poor quality, not brand new"
Product,positive,"cute, vintage, perfection, must","cute vintage skirt, soft material, must-have item"
Product,positive,"satisfied, disappointed, cautious, content, interested","loose fit, white streaks, deeper green, 100 percent cotton"
Product,positive,"love, short","clothing too short, but overall love it"
Product,positive,"love, lovely, soft, seams, style","lovely color, soft and raw seam style"
Product,negative,"surprise, laughter, disappointment, confusion, dissatisfaction","heavier material, beautiful beading, true to size, easy return"
Product,negative,"sadly, weird, tight, beauty, gorgeous","sweater design issues, sheer pink color, tight band at bottom"
Product,positive,"loved, cute, great, well made, flattering","well-made, cute blouse, flattering design"
Product,negative,"bulky, shame, well made, comfortable","bulky fabric, well made but uncomfortable"
Product,negative,"happy, disappointed, frustrated, angry, dissatisfied","low-quality pants, pockets unsewn, fabric over-stretched, bottom hem unraveled"
Product,negative,"disappointment, admiration, frustration, satisfaction, regret","dark pink color didn't fit, design was pretty"
Product,positive,"cute, small, great, works","dress design cute, runs small, size 6 works"
Product,positive,"satisfied, surprised, tempted, happy, content","good quality top, tempted to wear it as a dress"
Product,positive,"comfortable, perfect, loved, opportunities, warm","comfortable dress, perfect for fall, loved by daughter"
Product,positive,"caught, eye, tried, simple, well-structured, tight, fits like a glove",well-structured dress with a tight fit
Product,positive,"loved, glad, flattering","material and brand, flattering fit"
Product,positive,"pretty, great, small, large breasted","dress pretty, great quality, slip small for large breasted"
Product,positive,"love, gorgeously done, slimming, soft, warm","sweater knit dress with flare style, gorgeously done pattern placement, soft and warm fabric"
,,,
Product,negative,"disappointment, frustration, dissatisfaction, annoyance, surprise","scratchy material, unflattering design, wide appearance"
Product,positive,"prettier, vibrant, perfect","vibrant colors, perfect dress"
Product,positive,"liked, comfortable, loved, great","liked dress, comfortable material, great fit and color"
Product,positive,"love, hopeful","dress look and cut, material thickness, hopeful for more options"
Product,positive,"love, no difference, don't mind, hesitant, prefer","pilcro legging jeans, no difference in fit, stretch creates give"
Product,positive,"fortunate, great, slimming, recommend","great top, slimming, recommend purchase"
Product,positive,"happy, great","looks great on, happy with it"
Product,positive,"stylish, colorful, thin, lightweight, true-to-size","stylish romper, colorful fabric, lightweight, true-to-size"
Product,negative,"disappointment, frustration, concern, dissatisfaction, regret","blouse shrank after washing, expensive hand-me-down for daughter"
Product,positive,"confusion, desire",customer wants to purchase a top
Product,positive,"love, hesitant, comfortable, flattering, warm","comfortable, flattering, warm dress with unique twist"
Product,positive,"love, soft, stylish","easy caftan short dress, soft, stylish"
Product,positive,"cute, comfy, love, flattering, nice","cute and comfy romper, flattering v-neck, perfect for summer"
Product,negative,"disappointment, frustration, dissatisfaction, annoyance, regret","cheap material, cut and pattern worked but cut out pieces exposed bra."
"Marketing, Sales",positive,"loved, fun, recommend, new","promotions, different shirts, whole new look"
Product,positive,"comfort, travel, outdoor activities",extreme comfort for travel and outdoor activities
Product,negative,"frustration, disappointment, dissatisfaction, annoyance, regret","bodice is too small, bottom has too much fabric"
Product,positive,"cute, love, ruffle, large, size down","cute top, ruffle sleeves, size down"
Product,negative,"disappointed, satisfied, indifferent, frustrated, annoyed","colors not as pictured, sizing was right, sleeves too short"
Product,positive,"happy, satisfied","beautiful romper, perfect fit"
Product,positive,"sophisticated, whimsical, well-made, classy, feminine, timeless, love","well-made, classy, feminine, timeless, love"
Product,positive,"hesitant, glad, love, cute, like","fits perfectly, cute cardigan blazer, feels like a cardigan"
Product,positive,"amazement, satisfaction, happiness, surprise, gratitude",attention to detail and craftsmanship are amazing
Product,negative,"scratchy, bulky, bright, overwhelmed","oversized sweater, light-weight, scratchy, bulky neck, bright blue color"
"Product, Inventory",negative,"loved, terrible, bad, great, sold out","neon white dress, fit great, petite sizes sold out"
Product,positive,"lovely, soft, feminine, snug, issue","lovely dress with soft fabric, snug around bodice"
Product,positive,"love, spot on, plenty, fit, without a belt","broad shoulders, royal blue sweater, waist, fit without a belt"
Product,positive,"excitement, satisfaction, anticipation, confidence, contentment","dress fits wonderfully, ready for autumn"
Product,positive,"gorgeous, soft, love, pretty, nice","soft, button detail, sold out, pretty, nice"
Product,positive,"comfortable, soft, flattering, snug, like","soft fabric, flattering fit, many things to like at retailer"
Product,positive,"love, perfect, nice, great, perfect","dress with high low, perfect fit, great quality, on sale"
Product,positive,"love, surprised, delighted, needs, great","dress style and fabric are loved, slight puffiness in shoulders, runs large"
"Sales, Product",positive,"great, comfortable, relaxed, teach, machine washable","great work week pants, comfortable and machine washable"
Product,positive,"best, many, long time, big, flattering",flattering dress for any figure
Product,negative,"uncertain, disappointed, frustrated, hopeful, resigned","sizing issue, not cute, returning to retailer"
Product,positive,"glad, love, feminine, lovely, perfect","feminine and lovely top for women, perfect for those who carry weight in their belly or butt"
Product,positive,"love, comfortable","comfortable top, can be worn alone or under a sweater"
Product,positive,"gorgeous, great, comfy, recommend","dress is gorgeous, colors are great, fabric is comfy"
product,negative,"glad, figure flattering, disappointed","sweater came pilled, disappointed with retailer"
Product,positive,"simplistic, lovely, small, flow, nice","lovely colors, tts, small bust, nice weight, suitable for fall, winter, and early spring."
Product,positive,"love, comfortable, edgy, relaxed",comfortable and stylish joggers with a leather look
Product,positive,"elegant, soft, beautifully finished, two-toned","soft, elegant top with beautifully finished details"
Product,positive,"happy, satisfied, content, pleased, excited","soft modal material, casual dress, fits nicely, slight adjustment needed"
Product,positive,"love, great, perfect, might not work, plan","tunic dress with great material and perfect fit, layer with thin tee, tights, and boots"
Product,negative,"prettier, interesting, too big","colors prettier, interesting than model, too big"
Product,negative,"disappointment, frustration, dissatisfaction, regret, sadness","dress design not suitable for curves, disappointing fit"
Product,negative,"great, flattering, lifts, wear, under","shirt lifts when arms are raised, wear something under"
Product,positive,"comfortable, great, compliments","comfortable material, great fit, many compliments"
Product,positive,"beautiful, soft, lightweight, small, stretch, wish, flaws, made up","beautiful, soft, lightweight pants with small back pocket"
Product,negative,"disappointment, dissatisfaction, frustration, surprise, confusion","thin material, wrong fit, beautiful design"
Product,positive,"love, unique, different, doubt","unique swimsuit with retro look, love the colors and design"
Product,negative,"disappointment, frustration, dissatisfaction, sadness, regret","dress doesn't suit, print is adorable but bright white doesn't work"
Product,positive,"like, fun, bright, interesting, sweet",fun and bright dress with a flowy shape and edgy grommets.
,,,
Product,positive,"love, recommend","shirt, undershirt, recommend"
Product,positive,"ecstatic, worried, strongly suggest, completely off","petite size fits perfectly, button is low but it's the style"
Product,positive,"happy, satisfied, excited, pleased, content","soft material, flattering fit, beautiful color"
Product,positive,"cute, great, snug, baggy, soft","cute shorts, sized down, snug around legs, soft and comfortable"
Product,positive,"timeless, special, stunning, gorgeous, luxury","stunning jacket with quilted body, embroidery and beading, and luxurious fur inside."
Product,negative,"disappointment, frustration","sizing issue, not recommended"
Product,positive,"pretty, versatile, fun, available, beat","versatile vest, all seasons, sale price, downside compared to other vest"
Product,positive,"prettier, rich, vibrant, special, perfect","purple top, rich color, sheer bell sleeve, perfect fit"
Product,positive,"fun, cute, soft, good, sheer","fun coloring, soft shirt, good length, slight sheerness"
Product,positive,"love, flattering, great, stopped, asked","great dress, flattering, love it more in real life"
Product,positive,"enjoyed, worried, slimming, flattering, love",slimming and flattering dress with interesting neckline and rolled up sleeves
Product,positive,"love, biased, searching, desire, small","fitted waist, feminine appearance, small size"
Product,positive,"beautiful, unique, cozy, gorgeous",beautiful and unique piece for any fall wardrobe
Product,positive,"unsure, comfortable, appropriate, soft, great","buttery soft dress, appropriate length, comfortable, great fit"
Product,negative,"bulky, boxy, broad shouldered, small shoulders, reminded","bulky top, small shoulders, reminded of sheepskin rug."
Product,positive,"love, brightness, pretty, easy, well","color, buttons, easy pick, work pants, brightness"
Product,positive,"satisfied, happy, content, pleased, confident","perfect color for fall, dressy for work, looks great with jeans"
Product,negative,"stiff, unforgiving, uncomfortable, cling, roll","stiff fabric, uncomfortable fit, returning"
Product,positive,"comfy, flattering, soft, nicely, perfectly","comfy, flattering, soft fabric, fits perfectly"
Product,positive,"beautiful, glad, perfect, slimming, love","beautiful shape, perfect fit, classic dress, feel beautiful and unique"
Product,positive,"incidental, loved, flattering, great, transitioning","easy-going, flattering dress for transitioning seasons"
Product,positive,"hesitant, perfect, fine, soft, stretchy","dress fits great, blouse not too much fabric, skirt soft and stretchy"
Product,positive,"pleasantly surprised, happy, perfect, soft, well","substantial, perfect for fall and spring, soft lining, happy with fit"
Product,positive,"dreamy, lightweight, breathable, flattering, versatile","lightweight and versatile top, flattering on all body types."
Product,negative,"excited, disappointed, surprised, frustrated, annoyed","no lining in skirt, see-through mesh strips, misleading website picture"
Product,negative,"unsure, disappointed, confused, curious, undecided","dress swimming, size small, cross straps, bright coral/orange color"
Product,positive,"like, form fitting, comfortable, surprised, flattering",form fitting top with thick fabric and flattering criss-cross design.
